,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
286,A Futile and Stupid Gesture,2018,18,75,1,0,0,0,Netflix
287,The Dig,2021,13,75,1,0,0,0,Netflix
288,Legally Blonde,2001,13,75,1,0,0,0,Netflix
289,Legend,2015,18,75,1,0,0,0,Netflix
290,Notes on Blindness,2016,0,75,1,0,0,0,Netflix
291,When We First Met,2018,16,75,1,0,0,0,Netflix
292,Best Worst Thing That Ever Could Have Happened...,2016,0,75,1,0,0,0,Netflix
293,Imperial Dreams,2014,0,75,1,0,0,0,Netflix
294,Black Mirror: Bandersnatch,2018,18,75,1,0,0,0,Netflix
295,Queen,2013,13,75,1,0,0,0,Netflix
296,Joshua: Teenager vs. Superpower,2017,16,75,1,0,0,0,Netflix
297,Air Force One,1997,18,75,1,0,0,0,Netflix
298,Shot Caller,2017,18,75,1,0,0,0,Netflix
299,What Dreams May Come,1998,13,75,1,0,0,0,Netflix
300,Angel Has Fallen,2019,18,75,1,0,0,0,Netflix
301,Crimson Peak,2015,18,75,1,0,0,0,Netflix
302,Lemony Snicket's A Series of Unfortunate Events,2004,7,75,1,0,0,0,Netflix
303,The Red Sea Diving Resort,2019,18,75,1,0,0,0,Netflix
304,The Angel,2018,18,75,1,0,0,0,Netflix
305,Army of the Dead,2021,18,75,1,0,0,0,Netflix
306,Madagascar 3: Europe's Most Wanted,2012,7,75,1,0,0,0,Netflix
307,Icarus,2017,18,75,1,0,0,0,Netflix
308,Collateral Beauty,2016,13,75,1,0,0,0,Netflix
309,The Danish Girl,2015,18,75,1,0,0,0,Netflix
310,Green Zone,2010,18,75,1,0,1,0,Netflix
311,John Mulaney: New in Town,2012,18,75,1,0,0,0,Netflix
312,Strong Island,2017,0,75,1,0,0,0,Netflix
313,The White Tiger,2021,18,75,1,0,0,0,Netflix
314,Defiance,2008,18,75,1,0,0,0,Netflix
315,A Fortunate Man,2018,16,75,1,0,0,0,Netflix
316,The Death of Stalin,2017,18,75,1,0,0,0,Netflix
317,2012,2009,13,75,1,1,0,0,Netflix
318,Underworld: Awakening,2012,18,74,1,1,0,0,Netflix
319,Philomena,2013,13,74,1,0,0,0,Netflix
320,Sanju,2018,18,74,1,0,0,0,Netflix
321,Nappily Ever After,2018,18,74,1,0,0,0,Netflix
322,I Care a Lot,2021,18,74,1,0,0,0,Netflix
323,The Butler,2013,13,74,1,0,0,0,Netflix
324,Qarib Qarib Singlle,2017,0,74,1,0,0,0,Netflix
325,A Single Man,2009,18,74,1,0,0,0,Netflix
